n_playout,max_steps,accuracy
1,1,0.0
1,3,0.05
1,4,0.06470588235294118
1,5,0.07941176470588235
2,1,0.01764705882352941
2,3,0.16323529411764706
2,4,0.17647058823529413
2,5,0.3735294117647059
3,1,0.03676470588235294
3,3,0.1661764705882353
3,4,0.33088235294117646
3,5,0.48970588235294116
4,1,0.057352941176470586
4,3,0.17941176470588235
4,4,0.2691176470588235
4,5,0.4588235294117647
5,1,0.1426470588235294
5,3,0.21323529411764705
5,4,0.3779411764705882
5,5,0.5676470588235294
10,1,0.175
10,3,0.3382352941176471
10,4,0.475
10,5,0.6323529411764706
